MES,CODIGOCLIENTE,BANCARIZADO,SEGMENTO_CANAL,SEGMENTO_CAPTACIONES,TIPO_VINCULACION
201707,IBK_CODUNICO00029228128,S,Digital,01.NUEVOS,03.PASIVOS
201710,IBK_CODUNICO00028432544,S,Digital,07.ANSIOSO,02.ACTIVOS
201710,IBK_CODUNICO00021102746,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201712,IBK_CODUNICO00029246531,S,Digital,07.ANSIOSO,03.PASIVOS
201709,IBK_CODUNICO00027964694,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201707,IBK_CODUNICO00025213343,S,Sin transacciones,01.NUEVOS,03.PASIVOS
201707,IBK_CODUNICO00029037103,N,Digital,03.CONSUMIDOR,03.PASIVOS
201703,IBK_CODUNICO00024473426,S,Digital,06.TRANSACCIONAL DEP,02.ACTIVOS
201701,IBK_CODUNICO00028658618,S,Light user,Sin segmento,02.ACTIVOS
201708,IBK_CODUNICO00028603575,S,Digital,07.ANSIOSO,02.ACTIVOS
201711,IBK_CODUNICO00026127544,S,Light user,01.NUEVOS,03.PASIVOS
201711,IBK_CODUNICO00023823156,S,Digital,01.NUEVOS,02.ACTIVOS
201710,IBK_CODUNICO00028221701,S,Tradicional,07.ANSIOSO,02.ACTIVOS
201709,IBK_CODUNICO00028016132,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201707,IBK_CODUNICO00022948893,S,Tradicional,03.CONSUMIDOR,02.ACTIVOS
201701,IBK_CODUNICO00018319935,S,Tradicional,08.RETIRO,02.ACTIVOS
201705,IBK_CODUNICO00020314895,S,Digital,07.ANSIOSO,02.ACTIVOS
201709,IBK_CODUNICO00029349415,S,ATM,06.TRANSACCIONAL DEP,02.ACTIVOS
201705,IBK_CODUNICO00026675213,S,Digital,03.CONSUMIDOR,02.ACTIVOS
201710,IBK_CODUNICO00021529996,S,Agente,03.CONSUMIDOR,02.ACTIVOS
201710,IBK_CODUNICO00026735226,S,Digital,06.TRANSACCIONAL DEP,03.PASIVOS
201707,IBK_CODUNICO00029122955,S,Sin transacciones,01.NUEVOS,02.ACTIVOS
201704,IBK_CODUNICO00028836708,S,Digital,07.ANSIOSO,02.ACTIVOS
201712,IBK_CODUNICO00029349040,N,Digital,03.CONSUMIDOR,03.PASIVOS
