MES,CODIGOCLIENTE,DISTRITO,EDAD,DEPARTAMENTO,FLG_CELULAR,FLG_EMAIL,FLG_PROCEDENCIA,FLG_TELEFONO,RNG_EDAD,RNG_INGRESO_BRUTO,PROVINCIA,PROFESION,SEXO,SITUACION_LABORAL
201702,IBK_CODUNICO00029023501,TRUJILLO,29,LA LIBERTAD,1,1,PROVINCIA,1,28 - 45,1200 - 3999,TRUJILLO,,F,DEPENDIENTE
201710,IBK_CODUNICO00028474868,LIMA,36,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,INDEPENDIENTE
201705,IBK_CODUNICO00026184992,SURQUILLO,34,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,PSICOLOGO,F,INDEPENDIENTE
201705,IBK_CODUNICO00023711768,SANTIAGO DE SURCO,41,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
201710,IBK_CODUNICO00023018800,CHORRILLOS,46,LIMA,1,1,LIMA Y CALLAO,1,46 - 65,De 15000 a más,LIMA,ADMINISTRADOR DE EMPRESAS,M,DEPENDIENTE
201707,IBK_CODUNICO00028293792,JOSE LUIS BUSTAMANTE Y RIVERO,35,AREQUIPA,1,1,PROVINCIA,1,28 - 45,1200 - 3999,AREQUIPA,,M,DEPENDIENTE
201709,IBK_CODUNICO00027895670,SAN JUAN DE LURIGANCHO,27,LIMA,1,0,LIMA Y CALLAO,0,18 - 27,1200 - 3999,LIMA,,F,DEPENDIENTE
201709,IBK_CODUNICO00023904241,LA PERLA,44,CALLAO,1,1,LIMA Y CALLAO,1,28 - 45,850 - 1199,PROV. CONST. DEL CALLAO,,M,DEPENDIENTE
201703,IBK_CODUNICO00026684835,LINCE,61,LIMA,1,0,LIMA Y CALLAO,1,46 - 65,1200 - 3999,LIMA,,F,INDEPENDIENTE
201710,IBK_CODUNICO00028830014,LIMA,32,LIMA,1,1,LIMA Y CALLAO,1,28 - 45,1200 - 3999,LIMA,,F,DEPENDIENTE
